Country,Year,MeanTemp,Income group,country_code,CO2_kt,Temp_change
Afghanistan,1961,14.064916666666667,Low income,AFG,491.378,0.07950000000000124
Afghanistan,1962,13.768666666666666,Low income,AFG,689.396,-0.29625000000000057
Afghanistan,1963,15.033416666666668,Low income,AFG,707.731,1.2647500000000012
Afghanistan,1964,13.084916666666667,Low income,AFG,839.743,-1.948500000000001
Afghanistan,1965,14.101833333333333,Low income,AFG,1008.425,1.016916666666667
Afghanistan,1966,14.343000000000002,Low income,AFG,1092.766,0.2411666666666683
Afghanistan,1967,13.66325,Low income,AFG,1283.45,-0.6797500000000021
Afghanistan,1968,13.762333333333332,Low income,AFG,1224.778,0.09908333333333275
Afghanistan,1969,13.805083333333334,Low income,AFG,942.419,0.04275000000000162
Afghanistan,1970,14.783083333333332,Low income,AFG,1672.152,0.977999999999998
Afghanistan,1971,14.823500000000001,Low income,AFG,1895.839,0.04041666666666899
Afghanistan,1972,12.547166666666667,Low income,AFG,1532.806,-2.2763333333333335
Afghanistan,1973,14.235500000000002,Low income,AFG,1639.149,1.6883333333333344
Afghanistan,1974,13.316749999999999,Low income,AFG,1917.841,-0.9187500000000028
Afghanistan,1975,13.548083333333333,Low income,AFG,2126.86,0.2313333333333336
Afghanistan,1976,13.708583333333335,Low income,AFG,1987.514,0.16050000000000253
Afghanistan,1977,14.805416666666666,Low income,AFG,2390.884,1.0968333333333309
Afghanistan,1978,14.329666666666666,Low income,AFG,2159.863,-0.4757499999999997
Afghanistan,1979,14.262083333333335,Low income,AFG,2240.537,-0.06758333333333155
Afghanistan,1980,14.887333333333332,Low income,AFG,1760.16,0.6252499999999976
Afghanistan,1981,14.860083333333334,Low income,AFG,1983.847,-0.027249999999998664
Afghanistan,1982,13.733083333333333,Low income,AFG,2101.191,-1.1270000000000007
Afghanistan,1983,14.614833333333335,Low income,AFG,2522.896,0.881750000000002
Afghanistan,1984,14.245833333333335,Low income,AFG,2830.924,-0.3689999999999998
Afghanistan,1985,14.88875,Low income,AFG,3509.319,0.6429166666666646
Afghanistan,1986,14.22316666666667,Low income,AFG,3142.619,-0.6655833333333305
Afghanistan,1987,14.984,Low income,AFG,3124.284,0.7608333333333306
Afghanistan,1988,15.389000000000001,Low income,AFG,2867.594,0.40500000000000114
Afghanistan,1989,14.125750000000002,Low income,AFG,2775.919,-1.2632499999999993
Afghanistan,1990,14.993333333333332,Low income,AFG,2380.0,0.8675833333333305
Afghanistan,1991,14.370750000000001,Low income,AFG,2230.0,-0.6225833333333313
Afghanistan,1992,14.056083333333333,Low income,AFG,1390.0,-0.31466666666666754
Afghanistan,1993,14.439250000000001,Low income,AFG,1340.0,0.38316666666666777
Afghanistan,1994,14.754750000000001,Low income,AFG,1290.0,0.3155000000000001
Afghanistan,1995,14.859166666666667,Low income,AFG,1240.0,0.10441666666666549
Afghanistan,1996,14.426,Low income,AFG,1180.0,-0.4331666666666667
Afghanistan,1997,14.904000000000002,Low income,AFG,1100.0,0.47800000000000153
Afghanistan,1998,15.1325,Low income,AFG,1040.0,0.2284999999999986
Afghanistan,1999,15.388750000000002,Low income,AFG,810.0,0.2562500000000014
Afghanistan,2000,15.497833333333334,Low income,AFG,760.0,0.10908333333333253
Afghanistan,2001,15.778083333333333,Low income,AFG,730.0,0.2802499999999988
Afghanistan,2002,15.537666666666668,Low income,AFG,1029.99997138977,-0.24041666666666472
Afghanistan,2003,14.915999999999999,Low income,AFG,1220.00002861023,-0.6216666666666697
Afghanistan,2004,15.770916666666666,Low income,AFG,1029.99997138977,0.8549166666666679
Afghanistan,2005,14.979999999999999,Low income,AFG,1549.99995231628,-0.7909166666666678
Afghanistan,2006,15.595583333333332,Low income,AFG,1759.99999046326,0.6155833333333334
Afghanistan,2007,15.106166666666667,Low income,AFG,1769.99998092651,-0.4894166666666653
Afghanistan,2008,15.216499999999998,Low income,AFG,3559.99994277954,0.1103333333333314
Afghanistan,2009,15.25775,Low income,AFG,4880.00011444092,0.04125000000000156
Afghanistan,2010,15.828666666666665,Low income,AFG,7110.0001335144,0.5709166666666654
Afghanistan,2011,15.518,Low income,AFG,8930.00030517578,-0.3106666666666644
Afghanistan,2012,14.481583333333333,Low income,AFG,8079.99992370605,-1.0364166666666677
